NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z
1,00:00.4,-3242,10396,-6489,9117,2018,-819
3,00:00.4,-4014,11348,-15131,3359,-882,-2009
5,00:00.4,-3223,10918,-8496,-460,211,-2631
7,00:00.5,-5255,10690,-10854,1152,333,-3799
9,00:00.5,-560,14164,-8619,-327,488,-2833
11,00:00.5,-4342,10634,-11706,-2449,1339,-3486
13,00:00.5,-3653,11042,-10193,-3217,1070,-3072
15,00:00.5,-3714,11301,-9179,-2515,1121,-2779
17,00:00.6,-3122,12219,-9510,-1746,963,-1635
19,00:00.6,-4186,11078,-8578,-3015,1216,-981
21,00:00.6,-3625,11854,-8862,-2448,1242,-1297
23,00:00.6,-4184,10886,-9594,-742,1030,-1652
25,00:00.6,-3986,12155,-9332,-321,605,-3237
27,00:00.7,-4203,12015,-9567,231,158,-3456
29,00:00.7,-4334,12764,-8789,675,562,-3281
31,00:00.7,-4362,12963,-8732,814,1093,-3074
33,00:00.7,-4355,12927,-8524,670,1536,-2660
35,00:00.7,-4262,13176,-9068,885,1402,-1732
37,00:00.8,-4514,13419,-9506,1331,955,-1200
39,00:00.8,-4129,12783,-8611,1874,516,-1050
41,00:00.8,-3623,12678,-9993,2549,-1096,-81
43,00:00.8,-5059,11848,-9366,2310,-1735,518
45,00:00.8,-4391,11984,-9084,1221,-297,605
47,00:00.9,-4765,11549,-9815,996,558,492
49,00:00.9,-4579,11292,-10115,620,1007,-25
51,00:00.9,-4516,11805,-10043,1002,743,-460
53,00:00.9,-4563,12185,-9947,1296,650,-640
55,00:00.9,-4412,12532,-9930,1474,443,-357
57,00:01.0,-4383,13078,-9734,2043,187,354
59,00:01.0,-6019,12524,-8971,5726,-1865,605
61,00:01.1,-4529,11891,-9876,3953,141,-1008
72,00:01.1,-4562,11926,-10111,2394,2137,-431
74,00:01.1,-4451,11825,-11077,2721,2458,-587
76,00:01.2,-4282,11457,-10815,4213,1174,-483
77,00:01.2,-4723,8360,-12768,5499,266,96
79,00:01.2,-4044,11340,-10547,6090,-999,-346
81,00:01.2,-3893,10576,-11307,3518,1450,-917
83,00:01.2,-3986,10167,-11605,2870,1090,-1182
85,00:01.2,-3743,10425,-11207,2076,1116,-1282
63,00:01.3,-8144,9994,-10844,3087,816,256
88,00:01.3,-4186,10122,-12198,1125,1063,-1346
90,00:01.3,-3912,9623,-11304,1068,363,-1076
92,00:01.3,-4147,9410,-11891,-417,1158,-848
94,00:01.3,-4019,10655,-11611,-1051,1247,-1281
96,00:01.4,-4269,9755,-11858,-1050,1451,-1354
97,00:01.4,-4173,9654,-11831,-594,1168,-1322
99,00:01.4,-4065,10168,-11845,-36,800,-932
